Entry,Gene Names
A0A024R5Z7,ANXA2 hCG_2004404
A0A024RBI1,DAO
A0A0A0MRG2,APP
A0A0A0MSN4,ACE
A0A0B4J250,DAO
A0A0C5B5G6,MT-RNR1
A0A0K2S4Q6,CD300H
A0A0S2Z3D5,APOE
A0A0S2Z478,CRH
A0A0S2Z4C5,S100B
A0A140VJC8,
A0A140VJU3,
A0A1B0GTM3,ASAH1
A0A1B0GTZ5,ASAH1
A0A1B0GUA4,ASAH1
A0A1B0GUE3,ASAH1
A0A1B0GUG1,ASAH1
A0A1B0GUH5,ASAH1
A0A1B0GUW4,ASAH1
A0A1B0GW68,ASAH1
A0A1B1RVA9,LPL lpl
A0A1U9X785,
A0A1U9X8X8,
A0A218KGR2,APP
A0A384N611,
A0A384P5H7,COL6A1 hCG_401279
A0A3B3IRX2,PLA2G2A
A0A499FJK2,TGFB1
A0A5F9ZH41,VEGFA
A0A7D6VM04,
A0A7I2R3P8,NLRP3
A0A7I2V2E9,ACE2
A0A7I2V3N4,ACE2
A0A7I2V3X6,ACE2
A0A7I2V4H0,ACE2
A0A8S0M502,ACE2
A0AAG2UV77,PNLIPRP2
A0M8Q6,IGLC7
A1E959,ODAM APIN
A1KZ92,PXDNL VPO2
A1L4H1,SSC5D
A2VEC9,SSPOP KIAA2036 SSPO
A4D0S4,LAMB4
A4D0Y8,LEP hCG_33000 tcag7.84
A4D1T9,PRSS37 TRYX2
A4D1W7,INHBA hCG_17267 tcag7.474
A5D8T8,CLEC18A MRLP2
A6BM72,MEGF11 KIAA1781 UNQ1949/PRO4432
A6H8L5,LIPC
A6NI73,LILRA5 ILT11 LILRB7 LIR9
A6NMY6,ANXA2P2 ANX2L2 ANX2P2 LPC2B
A6NMZ7,COL6A6
A8K0B6,
A8K1Z7,
A8K2U0,A2ML1 CPAMD9
A8K4G0,CD300LB CD300B CLM7 CMRF35A2 IREM3 LMIR5 TREM5 UNQ2530/PRO6029
A8K571,BMP7 hCG_40100
A8K660,ADIPOQ hCG_1784052
A8K7I4,CLCA1 CACC1
A8KA38,
A8MVW5,HEPACAM2 MIKI UNQ305/PRO346
A8TX70,COL6A5 COL29A1 VWA4
B2R7K8,
B2RBY8,
B2RCJ5,
B2RUY7,VWC2L
B3KXG9,
B4DDT1,
B4DGD0,
B4DIT7,
B4DJT9,
B4DKH4,
B4DQM1,
B4DSX9,
B4DTN7,
B4DXK6,
B7Z965,
B7ZAQ6,GPR89A GPHRA GPR89 SH120 CGI-13 UNQ192/PRO218
C8C060,BMP2
D0PNI2,LOX hCG_37363
D9ZGF5,FGF2 FGF2A
E7EMM4,ASAH1
E7EUF1,ENPP2
E7EUJ1,LIPC
E7EUK6,LIPC
E9LUE8,SMPD1
E9PG40,APP
F8W6H5,ENPP3
I3UJJ7,ACE
I4AY87,MIF
J3KS28,ACE
K9M1U5,IFNL4
M5A8F1,ERVH48-1 C21orf105 HERV-Fb1 NDUFV3-AS1
O00175,CCL24 MPIF2 SCYA24
O00182,LGALS9
O00187,MASP2
O00230,CORT UNQ307/PRO350
O00253,AGRP AGRT ART
O00264,PGRMC1 HPR6.6 PGRMC
O00292,LEFTY2 EBAF LEFTA LEFTYA TGFB4 PSEC0024
O00294,TULP1 TUBL1
O00300,TNFRSF11B OCIF OPG
O00339,MATN2 UNQ193/PRO219
O00391,QSOX1 QSCN6 UNQ2520/PRO6013
O00401,WASL
O00468,AGRN AGRIN
O00533,CHL1 CALL
O00548,DLL1 UNQ146/PRO172
O00560,SDCBP MDA9 SYCL
O00584,RNASET2 RNASE6PL
O00585,CCL21 SCYA21 UNQ784/PRO1600
O00602,FCN1 FCNM
O00622,CCN1 CYR61 GIG1 IGFBP10
O00626,CCL22 MDC SCYA22 A-152E5.1
O00744,WNT10B WNT12
O00754,MAN2B1 LAMAN MANB
O00755,WNT7A
O14511,NRG2 NTAK
O14514,ADGRB1 BAI1
O14558,HSPB6
O14594,NCAN CSPG3 NEUR
O14625,CXCL11 ITAC SCYB11 SCYB9B
O14638,ENPP3 PDNP3
O14657,TOR1B DQ1 FKSG18
O14672,ADAM10 KUZ MADM
O14763,TNFRSF10B DR5 KILLER TRAILR2 TRICK2 ZTNFR9 UNQ160/PRO186
O14773,TPP1 CLN2 GIG1 UNQ267/PRO304
O14786,NRP1 NRP VEGF165R
O14788,TNFSF11 OPGL RANKL TRANCE
O14791,APOL1 APOL
O14793,MSTN GDF8
O14798,TNFRSF10C DCR1 LIT TRAILR3 TRID UNQ321/PRO366
O14904,WNT9A WNT14
O14905,WNT9B WNT14B WNT15 UNQ6973/PRO21956
O14944,EREG
O14960,LECT2
O15018,PDZD2 AIPC KIAA0300 PDZK3
O15041,SEMA3E KIAA0331 SEMAH
O15072,ADAMTS3 KIAA0366
O15123,ANGPT2
O15130,NPFF
O15173,PGRMC2 DG6 PMBP
O15197,EPHB6
O15204,ADAMDEC1
O15230,LAMA5 KIAA0533 KIAA1907
O15232,MATN3
O15240,VGF
O15263,DEFB4A DEFB102 DEFB2 DEFB4; DEFB4B
O15393,TMPRSS2 PRSS10
O15444,CCL25 SCYA25 TECK
O15460,P4HA2 UNQ290/PRO330
O15467,CCL16 ILINCK NCC4 SCYA16
O15496,PLA2G10
O15520,FGF10
O15537,RS1 XLRS1
O15552,FFAR2 FFA2 GPCR43 GPR43
O43155,FLRT2 KIAA0405 UNQ232/PRO265
O43157,PLXNB1 KIAA0407 PLXN5 SEP
O43184,ADAM12 MLTN UNQ346/PRO545
O43240,KLK10 NES1 PRSSL1
O43278,SPINT1 HAI1 UNQ223/PRO256
O43320,FGF16
O43323,DHH
O43353,RIPK2 CARDIAK RICK RIP2 UNQ277/PRO314/PRO34092
O43405,COCH COCH5B2 UNQ257/PRO294
O43493,TGOLN2 TGN46 TGN51
O43508,TNFSF12 APO3L DR3LG UNQ181/PRO207
O43556,SGCE ESG UNQ433/PRO840
O43557,TNFSF14 HVEML LIGHT UNQ391/PRO726
O43653,PSCA UNQ206/PRO232
O43699,SIGLEC6 CD33L CD33L1 OBBP1
O43760,SYNGR2 UNQ352/PRO615
O43820,HYAL3 LUCA3
O43827,ANGPTL7 CDT6 UNQ313/PRO356
O43852,CALU
O43854,EDIL3 DEL1
O43866,CD5L API6 UNQ203/PRO229
O43897,TLL1 TLL
O43915,VEGFD FIGF
O43927,CXCL13 BCA1 BLC SCYB13
O60218,AKR1B10 AKR1B11
O60235,TMPRSS11D HAT
O60241,ADGRB2 BAI2
O60258,FGF17 UNQ161/PRO187
O60259,KLK8 NRPN PRSS19 TADG14 UNQ283/PRO322
O60341,KDM1A AOF2 BHC110 KDM1 KIAA0601 LSD1
O60383,GDF9
