Entry,Gene Names
A0A024R5Z7,ANXA2 hCG_2004404
A0A0S2Z3D5,APOE
A0A1B1RVA9,LPL lpl
A0A384N611,
A0A384P5H7,COL6A1 hCG_401279
A0A499FJK2,TGFB1
A4D0S4,LAMB4
A6NMY6,ANXA2P2 ANX2L2 ANX2P2 LPC2B
A6NMZ7,COL6A6
A8TX70,COL6A5 COL29A1 VWA4
B4DIT7,
B4DTN7,
O00468,AGRN AGRIN
O00533,CHL1 CALL
O00744,WNT10B WNT12
O00755,WNT7A
O14904,WNT9A WNT14
O14905,WNT9B WNT14B WNT15 UNQ6973/PRO21956
O15072,ADAMTS3 KIAA0366
O15230,LAMA5 KIAA0533 KIAA1907
O43155,FLRT2 KIAA0405 UNQ232/PRO265
O43405,COCH COCH5B2 UNQ257/PRO294
O60844,ZG16
O60882,MMP20
O60938,KERA SLRR2B
O75173,ADAMTS4 KIAA0688 UNQ769/PRO1563
O75339,CILP UNQ602/PRO1188
O75443,TECTA
O75718,CRTAP CASP
O75829,CNMD CHMI LECT1 MYETS1
O94769,ECM2
O95450,ADAMTS2 PCINP PCPNI
O95833,CLIC3
O95967,EFEMP2 FBLN4 UNQ200/PRO226
O96014,WNT11
P01009,SERPINA1 AAT PI PRO0684 PRO2209
P01137,TGFB1 TGFB
P02452,COL1A1
P02458,COL2A1
P02461,COL3A1
P02462,COL4A1
P02649,APOE
P02751,FN1 FN
P02760,AMBP HCP ITIL
P03956,MMP1 CLG
P04275,VWF F8VWF
P04628,WNT1 INT1
P05997,COL5A2
P06858,LPL LIPD
P07355,ANXA2 ANX2 ANX2L4 CAL1H LPC2D
P07585,DCN SLRR1B
P07942,LAMB1
P07996,THBS1 TSP TSP1
P08123,COL1A2
P08253,MMP2 CLG4A
P08254,MMP3 STMY1
P08572,COL4A2
P09237,MMP7 MPSL1 PUMP1
P09238,MMP10 STMY2
P09382,LGALS1
P09486,SPARC ON
P09544,WNT2 INT1L1 IRP
P10600,TGFB3
P10745,RBP3
P11047,LAMC1 LAMB2
P12107,COL11A1 COLL6
P12109,COL6A1
P12110,COL6A2
P12111,COL6A3
P12644,BMP4 BMP2B DVR4
P13497,BMP1 PCOLC
P13611,VCAN CSPG2
P13942,COL11A2
P14543,NID1 NID
P14780,MMP9 CLG4B
P15502,ELN
P15692,VEGFA VEGF
P16112,ACAN AGC1 CSPG1 MSK16
P20774,OGN OIF SLRR3A
P20849,COL9A1
P20908,COL5A1
P21754,ZP3 ZP3A ZP3B ZPC
P21810,BGN SLRR1A
P21941,MATN1 CMP CRTM
P21980,TGM2
P22105,TNXB HXBL TNX TNXB1 TNXB2 XB
P22894,MMP8 CLG1
P23142,FBLN1 PP213
P24043,LAMA2 LAMM
P24347,MMP11 STMY3
P24821,TNC HXB
P25067,COL8A2
P25391,LAMA1 LAMA
P25940,COL5A3
P27658,COL8A1 C3orf7
P27797,CALR CRTC
P29279,CCN2 CTGF HCS24 IGFBP8
P29400,COL4A5
P35247,SFTPD COLEC7 PSPD SFTP4
P35443,THBS4 TSP4
P35555,FBN1 FBN
P35556,FBN2
