"","200364_D0_patient","200452_D0_patient","210481_D0_patient","220318_D0_patient","230020_D0_patient","230021_D0_patient","200242_D0_patient","200271_D0_patient","200390_D0_patient","200414_D0_patient","200446_D0_patient","210018_D0_patient","210054_D0_patient","210224_D0_patient","210321_D0_patient","210412_D0_patient","210426_D0_patient","210454_D0_patient","210492_D0_patient","210504_D0_patient","210521_D0_patient","210525_D0_patient","210526_D0_patient","220026_D0_patient","220055_D0_patient","220233_D0_patient","220261_D0_patient","220418_D0_patient","200383_D0_patient","210005_D0_patient","210051_D0_patient","210057_D0_patient","220163_D0_patient","230411_D0_patient","230043_D0_patient","230052_D0_patient","230026_D0_patient","230114_D0_patient","230300_D0_patient","230220_D0_patient","230230_D0_patient","230275_D0_patient","230353_D0_patient","200335_D0_patient","210126_D0_patient","220198_D0_patient","230237_D0_patient","210218_D0_patient","210438_D0_patient","230238_D0_patient","230204_D0_patient","230415_D0_patient","220387_D0_patient","220242_D0_patient","220287_D0_patient","220320_D0_patient","220430_D0_patient","220451_D0_patient","230027_D0_patient","200270_D0_patient","210146_D0_patient","230128_D0_patient","210147_D0_patient","230109_D0_patient","950217_D0_patient","080676_rec_patient","070417_rec_patient","150659_D0_patient","000874_D0_patient","000874_rec_patient","200242_rec_patient","120513_D0_patient","150345_rec_patient","090072_rec_patient","090331_rec_patient","000496_rec_patient","940590_rec_patient","080656_rec_patient","040503_rec_patient","060366_rec_patient","940203_rec_patient","130446_D0_patient","000546_rec_patient","210450_D0_patient","220357_D0_patient","160140_rec_patient","180025_rec_patient","120479_D0_patient","140006_D0_patient","220168_D0_patient","180257_D0_patient","230276_D0_patient","symbol"
"ENSG00000028137",4.75872584614242,3.79610753187698,5.36940046478415,4.71998822661901,7.39364741129639,3.44419018590964,7.2650427580126,5.44140299025577,5.77622729824038,4.90314893908179,5.46783633933243,5.85668078522382,5.20278918365192,5.86064290066215,4.50118059021389,6.74651310590179,5.00560359712007,6.28454131215825,4.51445699048567,2.37229883230522,4.49630586655534,5.81040153491399,5.19439148633449,3.62397671014175,4.75325598112341,5.60039286514973,6.34077869977881,5.18146545886007,5.54570051096695,5.51953908116704,5.14725316643663,3.23073874862155,4.91999625032632,5.97421069964569,4.9756377187122,5.33613751022856,4.05831471967807,3.94584305073799,5.04069588747455,6.30511982650129,5.16647041209589,6.0774304108725,3.8266273518675,4.55348749139488,4.13208424241258,3.78666425446171,4.03924377790979,3.80695663192374,4.99904956428144,5.52369422440504,5.60979227228337,6.18055040929435,5.55084210765134,4.96277204053652,5.80474526108981,3.88349356761341,5.10705627745398,3.89703083315119,6.70152407480535,5.38866381292303,4.18809216886677,6.16422754567009,4.07840768995996,9.13134354933795,5.75071170813598,6.53176105402167,4.80378120527729,2.92350556242208,6.19116909048018,5.96216048864764,6.02153049076829,3.98374468968686,5.52351385386321,6.05858165941368,5.48580915732255,4.1436425177011,7.14610513218697,4.12105537744771,5.786045308517,4.48476450342445,4.25622078526843,5.70671513784446,5.63136507392176,6.21785442433602,2.8096887492354,5.9150772423655,5.71773657906658,4.43677206107458,3.74363272182365,4.73019462058813,6.89203814073448,6.80640035051726,"TNFRSF1B"
"ENSG00000117000",3.86069817604696,3.486953439509,4.65585891734327,4.36221440329163,3.05483777434352,3.23278220414714,3.67252860590736,3.18000884545265,3.57784878753063,3.60847822688431,4.48228589275462,3.92485691951107,4.64749005031796,3.67200873128458,4.17050703788025,5.14392098893253,4.44710751999,3.99795605468105,4.87045017082921,4.78356451962286,4.2230169953351,3.61171753642679,4.91658221002499,3.96311889189006,3.902126034185,3.29744783503858,4.02380960276856,4.07094634709591,1.9735970404161,4.46783953668666,4.59137020784716,4.4819311121111,3.39996104414087,3.88442685602846,4.31490105932685,4.26059641501624,2.55990060532661,3.85313606296297,4.58598680314106,4.32559179183318,4.09958733281712,3.99780842752424,3.56844705428115,4.26169639874976,4.80227216199103,3.62332970314664,4.09842790124733,3.45848524804757,2.76173839124368,3.474990579507,3.79289047450191,4.58329000158991,4.14856785353433,3.49496737378803,4.20610320637224,3.80809372743631,3.75829843367641,3.71982115121702,3.42231907878955,3.98708342790144,4.27136011571006,4.24168872389961,4.99116015453183,3.89323821490008,5.01056049461882,4.76983142681773,4.60595023444255,5.36498126043141,5.18778168034805,6.00953984672606,5.58318168530544,3.28273884793563,4.27840349338406,2.53277298347123,4.39354736277871,4.1436425177011,4.72887133354601,4.01039229202536,4.45491991846976,4.54905720318425,4.78087346155252,4.34008254790251,4.2757529884336,4.54914209112675,5.48303471997537,4.66255988641329,4.23758091432794,4.43677206107458,5.17870665973775,4.90930478485173,4.07285168657819,4.80208554978952,"RLF"
"ENSG00000157193",5.23239995071647,3.19027720737981,3.62122664017575,4.99269538296882,4.02699377273047,4.30641267523893,3.67252860590736,5.45255382156466,4.1701261625513,4.27853561041488,5.11475325734239,2.81009404846481,4.56714286570177,4.83325813469689,6.48697045587066,3.3476527362795,6.58462497684647,4.80594895678595,4.04079354978357,4.52217473587117,4.30652110939847,3.55298073126439,5.33856116369962,4.53727581672865,4.95797150464299,3.94843087337933,4.4173462654926,6.59142793027227,2.55389678063962,3.08034921229841,2.52607487284445,3.36640314108611,4.43967152725176,4.65067395540621,3.63086540070215,3.71175296183998,3.55674408372093,4.46756646020857,3.49888224482188,4.63627763142513,3.20196874143734,4.67524306194491,4.58910113050266,6.27109663344711,4.50574928310957,4.75999720188603,4.66628375821709,2.99809398730709,4.2311715554737,3.67586796884969,3.72251749116804,4.3439254193163,4.08303113855981,4.05170099525354,3.35331129928145,5.03541914334331,3.08392369150691,4.1277038108744,1.53730550898968,4.07768239224834,4.74912069084602,4.24168872389961,4.99116015453183,3.61865287999192,4.56019938332906,3.49865923817341,4.80378120527729,4.90705453381972,3.07810465471433,3.04035354264497,5.1011284614732,2.55025514183632,4.92645319194825,4.63269123491491,3.18918079041076,3.82658623616806,4.50734418029161,4.65015296004331,6.59955462399193,4.98061301040826,3.03166661782671,4.49422869094237,4.87952582409705,5.48671920967737,3.86336584283517,4.28468811842171,3.85403149074785,4.50780616329922,1.9578399406836,4.00148628209824,4.37765272369586,3.60783326580876,"LRP8"
"ENSG00000172260",5.10248549114366,3.40822691426514,5.79524349258003,7.26681299856727,6.10680552665572,2.47077233411574,1.33408122687301,2.42071218609894,2.05226767556217,4.08780279414534,6.35613804027818,5.24128726345545,5.54799553038545,3.98382604651956,7.1016899034926,1.65707479852781,7.22800563818788,5.02846286615109,3.28181504566438,3.88385534486683,8.03244079953893,1.78486642550811,4.36330679464496,2.05689116858122,2.53061883590821,4.67410816608351,3.34266063519441,6.78115417451776,2.96659723623658,5.93029492203898,5.61261746071614,3.23073874862155,5.11104321328168,1.37382850276427,3.3328053131638,5.12251177390661,1.56619300500237,0.987495578422745,5.67627280898241,6.22607432362963,1.4354577351248,5.80077608032374,3.25376963561545,6.34926351637089,1.7131148506224,3.22788481995535,4.74247371458731,4.72846961111478,5.60812289722334,4.08180237384585,1.72354682516771,5.08961223608536,5.37032585374098,1.72687801896773,5.82394365299459,2.69864117249999,5.13695972203491,2.44009257958883,1.53730550898968,4.40377497464289,2.38731064050587,5.12338043270724,3.79820133454558,3.27922311371609,5.75071170813598,2.21590480331653,3.56377801995143,2.92350556242208,2.04852945362072,0.987495578422745,3.60829349270672,1.71118045604457,6.40108817186545,4.39253614686237,2.12503489233001,4.72208356988414,2.93444125667306,6.41777674296624,7.11658222182736,3.60717990403844,5.89622155539408,3.4748256686487,5.52068879856078,5.48671920967737,2.16897460363808,2.66894570448193,2.67504937996175,4.19991483374382,0.987495578422745,6.48693456982246,5.65762677316681,6.31701952439318,"NEGR1"
"ENSG00000182183",1.67659832585838,1.52400373721948,3.07629225090531,2.33033890176066,3.26932945069095,2.68561970217495,2.88104323979646,1.87520854046432,2.75389851979441,2.55784365766412,1.96506426993444,1.69616336917813,3.52185440827151,2.63489265526305,3.54618989878922,2.73700235034993,1.47297908094252,3.31899050326864,2.32556721429469,0.987495578422745,2.41173590456529,2.43207737357834,3.2748519095501,3.62397671014175,2.81626102427841,2.25880742134582,3.48091071635817,1.50070589806498,2.29272928778728,2.95209064311601,2.77383775248452,2.25081595139625,2.4361499395372,2.49460571565298,4.18337694164255,3.25765754457464,3.29434153495094,4.80111522214014,3.13134690028852,3.87089927566207,3.08409764329185,3.7037457000246,3.06628139208112,0.987495578422743,2.1936515178575,2.68132694033624,2.61205258221715,2.16527872043113,4.03394352369904,3.474990579507,3.30759439860743,0.987495578422745,3.70151245389202,3.65554398672799,3.80364918857296,0.987495578422745,3.59553989234173,2.65254888266451,1.74949498492051,3.1980230795406,3.67953404007314,2.7998546643565,2.99042798360015,2.83453591581268,0.987495578422743,2.57947524818577,0.987495578422745,2.92350556242208,0.987495578422745,2.02294851827428,0.987495578422745,1.11586338117811,3.97614863942644,2.53277298347123,2.75307664129094,1.89775554406983,0.987495578422745,2.83227989345606,2.75112068099309,3.01878258509818,1.92779771019534,2.09307185745342,1.93091870293386,3.48110139215325,2.16897460363808,2.49317563984311,1.78688708535258,2.39555910719366,2.53278019901595,2.45711569000697,1.98630214074182,3.04705103041007,"SHISAL2A"
"ENSG00000116157",5.30803043981526,5.78851480226894,5.58833665187135,6.00295520433008,6.31422832270786,6.31694069021594,6.30332730137856,6.99329768183667,6.47588024814396,5.62789690389265,3.71455250754916,6.22739263077171,5.94766641788466,6.09774307702847,6.70090645440049,5.28058518058211,4.02329365408673,6.42543223610445,5.5574838161648,5.77944474336732,7.12897402889165,6.06281184280791,5.29208717821074,6.88226486476521,6.77505874287934,5.87301882351917,5.65662912551675,4.98323238046227,4.35456436540174,6.0911971849751,5.6748965527812,5.89165043871357,7.28815021741752,6.52497470697086,5.87364884113405,6.59244759236369,6.37845610057972,6.96290706190305,6.31336462498098,6.06669092181738,5.88303340101545,6.34911302328338,6.67994596281806,6.0548641083853,6.08906686359045,6.89098887605182,7.14015862313619,5.35847627052095,6.54181130294798,5.17141063579533,6.40029976372134,5.05026073492293,6.54455849098365,6.5683126159892,6.35945066723546,6.7441141622723,5.13695972203491,6.21543154691659,3.0740245232281,6.58271769192007,5.39419253947621,5.8271414978452,6.41757810729888,5.48872973568575,4.80288250349182,5.88842637863084,5.973296596476,6.48833563451337,5.91033596694732,5.44660855506912,6.52664295570649,2.45637653170701,6.35334523908186,5.45377161544149,5.88479941682359,5.61646575559226,6.47245438235546,6.20813099812119,5.95019875226371,6.21776415226519,6.52910120581265,7.21088495748719,6.47442148455097,5.41951601275792,5.21656700763565,6.78065572439489,5.15969818677327,5.58164398367683,5.63035338651926,6.10104198550946,6.00754905971114,5.49744321552633,"GPX7"
"ENSG00000137936",3.77799893014859,2.02387077274897,3.46141326547341,3.21635045223472,4.24536424549138,2.87257998156894,4.22291331068352,4.45122790940216,3.52456630967452,3.98206310805118,3.87430928329346,2.52498193181272,4.00107690329094,4.98105718049555,3.74077492568904,1.36078685306852,2.57259031816294,5.34463374214205,1.87421120778323,4.16649970764093,2.68570307359529,3.21697744974623,3.82460700308358,2.66426306233399,1.83357001493583,4.18914438472667,4.34676192843925,4.30533124536611,3.66433565283118,4.09525999757425,3.73493635906273,4.54048502467128,3.2777578304319,3.3931982353503,3.8198878461119,4.40526590479596,1.78679039659095,2.54083244521007,4.48040080585855,5.34084886100706,2.81482049370858,4.29705010922426,4.69000328564263,3.67043287399997,2.1936515178575,0.987495578422745,2.76600716059975,3.24657716082,4.2311715554737,2.80039334499479,4.44484829600154,4.05678947091967,3.86640810133854,0.987495578422745,4.99711639896151,1.80148730968919,4.64853279701329,3.97808960874004,1.28843507883248,5.13805193192764,2.38731064050587,3.57829458539071,2.99042798360015,0.987495578422745,0.987495578422743,0.987495578422745,4.37661416390186,3.91255907977769,0.987495578422745,0.987495578422745,4.24824934463464,1.3427025803181,5.4345442790453,0.987495578422745,2.75307664129094,2.45151984418039,2.525395952873,4.57437653533106,4.18043277141363,1.58644724727555,4.83713250886736,5.17950997586576,3.3531562215983,3.60725755755377,3.86336584283517,4.66255988641329,0.987495578422743,2.89682523987567,1.9578399406836,0.987495578422745,1.98630214074182,2.11725131415001,"BCAR3"
"ENSG00000171492",5.29321820231593,5.66697665925959,5.13787208416291,5.74881406868686,5.194395407796,3.79198302585712,6.57993197778183,6.04534205916088,5.19456305381082,5.8394809541912,6.03954554336141,6.14004565040686,5.2204087684734,5.39100281277203,4.81393583183819,5.74167732735776,4.83567706526003,6.19551688573224,4.57684044471095,4.20271006416883,5.00127789791296,4.58072572450434,5.88418349611227,5.60919062549504,6.40684559755593,5.95353486545474,5.56632473581533,5.19820586009701,5.31849047889288,5.4017136452693,4.82902392387131,4.70310967834359,5.18089944254001,4.99166213763385,4.94888567389781,5.74247152200761,5.34457301495312,6.00732950902057,5.47107053872219,5.81216658065388,4.64874188871486,5.00800737058845,4.98298239044785,5.26797002245113,5.10354897684686,5.43780774979815,5.96741247908942,4.45976377870334,6.25499608216968,5.57487066064658,5.23325659237539,5.05026073492293,5.39753842673864,5.91616372021255,5.93405958215964,5.64617604402702,6.35940559143198,5.745321291682,3.22357256994696,6.05286193471791,5.81080128757188,6.50213769491571,5.54582687487116,5.18264042686548,4.56019938332906,5.52111503296997,4.37661416390186,6.18920060932304,6.88635724226466,5.37605603580967,6.02153049076829,3.04543673199673,6.60511125031925,3.2616688594373,4.93241537824212,4.51764243356635,6.00592121067416,5.70294565965655,4.51609328602438,4.83348784439638,5.10493755463982,5.35076610313078,5.08796881234296,5.67136803913964,4.88947358445118,5.46900023696452,5.42913003813846,5.36917249972169,5.01862001662656,4.73019462058813,5.57016978897665,6.19860820970167,"LRRC8D"
"ENSG00000069702",2.38406499198298,1.52400373721948,2.90046783912635,2.77760520485559,1.86702357515606,3.62854169895579,2.38216695638157,2.22651784354406,2.05226767556217,2.03058940804336,2.72126025628995,3.51286469781017,1.9233243222265,2.2245449884153,2.63220303584004,2.60438556582977,3.25068701674227,3.11217284148523,3.37838618507783,4.01182200246521,1.34434017889786,3.36089581370806,3.36741450220999,2.78315719144919,3.05458767324454,3.78201542911063,3.66623064674315,2.03577110031062,2.55389678063962,4.03321435236335,2.38416372131268,3.36640314108611,2.18734068437998,2.49460571565298,3.48951908965032,2.5912562659983,2.14696362349065,0.987495578422745,2.9052192833347,3.29458490275768,3.41224158504587,2.83552918931283,2.59723364794143,3.07596693489177,2.55349766226132,1.79076318383794,2.43968450664547,2.58188272459628,3.19878087564189,3.36298588965054,2.72286068410875,2.71454802051792,3.30145866812733,3.10761698945538,1.44973260463287,0.987495578422745,2.28393479224996,2.44009257958883,2.90716246683676,1.58999925565799,2.65874519372271,2.57712917156697,2.99042798360015,2.43731710700648,3.40956352239901,0.987495578422745,2.22249997279226,2.51571984625135,2.65327596647446,2.61953766814675,1.88162154563352,1.23373672041443,3.22012784962277,3.74362337018388,2.75307664129094,1.89775554406983,1.95234369076353,2.18661584633316,2.75112068099309,2.33450732376479,1.23090389363475,0.987495578422743,1.53498775062177,3.60725755755377,3.58975459955112,3.21374817859399,2.06511485432213,2.39555910719366,1.9578399406836,4.00148628209824,0.987495578422745,2.74299583445185,"TGFBR3"
"ENSG00000135862",4.30655183976712,3.97062912020158,4.25396993290028,5.40942892924007,4.29515678954527,4.43071315729416,4.62034608421695,4.59904300952454,3.22391287696641,4.11306965150736,5.22262916390532,3.34445992802537,4.7480999618023,5.56509554370482,4.79214303397104,4.1998354539095,2.25064569406106,4.8399160665274,4.30927909978668,4.52217473587117,3.36859304467797,2.29542654132444,4.40757625525589,4.23751629506195,4.85135980965993,4.60931025295042,4.15353166480471,4.98323238046227,3.28712128556332,4.21187784057539,4.22579259563292,4.29049886881749,3.97265600237495,4.7189692640071,4.27237816790281,4.43927499718534,2.78139186784734,3.64767527152286,4.73115422240775,5.42415392369643,3.97265514924609,4.63304638123335,4.40346320108461,5.18513957979282,4.33098073169695,4.06653069710805,4.66628375821709,3.58422929727334,4.82677133623989,2.96290016789371,4.48791089905807,5.05026073492293,4.27133398680882,5.08063868592515,4.61163053974625,4.26812443209606,4.15889532409427,4.4453219077752,1.74949498492051,5.08807115761165,3.41236576085428,5.24205644443676,4.5146266311024,2.64955438354106,5.49826348172917,4.269943063102,4.49583442156747,4.90705453381972,5.27062061245067,4.86001330939465,4.48597666544262,1.62750396090789,4.74101313137663,3.74362337018388,3.18918079041076,2.85070154343085,4.62235554861501,4.65015296004331,4.68543756116625,4.48476450342445,6.16154752716784,4.76047171410753,1.93091870293386,4.78099785751589,5.00693965579356,5.39589728160505,3.10241264719833,5.1199137804489,2.94278034682621,5.6752759869786,4.79263332986074,4.53518624003306,"LAMC1"
