"","210086_D0_patient","210111_D0_patient","200219_D0_patient","200522_D0_patient","210030_D0_patient","210113_D0_patient","210263_D0_patient","210508_D0_patient","220140_D0_patient","220478_D0_patient","230005_D0_patient","230060_D0_patient","230304_D0_patient","200263_D0_patient","210403_D0_patient","230451_D0_patient","220273_D0_patient","240019_D0_patient","2302396_D0_patient","130504_D0_patient","130481_D0_patient","130247_D0_patient","110041_D0_patient","100760_D0_patient","100637_D0_patient","050086_D0_patient","210511_D0_patient","160477_rec_patient","230005_rec_patient","symbol"
"ENSG00000028137",3.0565676779306,2.77714896540658,2.24145726662169,3.73486592523665,4.21774817708193,4.85027292155034,3.70339562530536,4.92662881418552,3.9200134339941,3.53064737905828,5.20898832098591,4.66083169303376,3.94653014446337,3.09006451109462,3.04103200738026,2.86422077666965,6.05169331561565,2.59358044007404,4.39840968810235,5.01088461923747,2.50428175104957,4.22393574788024,3.43254376177269,2.08704994384023,3.9121589795803,3.1228352178791,4.03695502376322,4.39450129552672,2.49947817475697,"TNFRSF1B"
"ENSG00000117000",5.24387322336822,3.23792706167282,4.20623435698432,3.2968125096887,4.65176945496259,3.32213954637997,3.70339562530536,4.81354936787096,4.28701696312408,4.24005411651115,3.90919162444427,3.49927242660715,3.42556289036296,3.74575297516793,3.66604001162369,4.16017753262319,3.57797045021929,4.4311713770945,4.7055827761174,4.78591762908074,4.79801089058537,4.66494973206356,5.38012022731844,5.63138541338294,4.8138844532604,4.85278312211088,5.18824805566174,5.37300548048968,4.2100028904904,"RLF"
"ENSG00000157193",4.48558817087244,4.51756799544537,4.73859393985113,3.47701216474714,3.91115479314336,4.98422590180313,4.54112659161743,5.66077369170182,5.55906091111047,3.85087757710398,4.35860558369992,4.83927192643338,4.79101691680638,3.74575297516793,4.54872309862597,4.25219458542906,4.04776135966842,4.82418705273861,4.97964794348962,5.06204278857596,4.21660354942472,5.14529236026921,4.29359397590397,5.16885845848342,4.90662421179859,6.06657151342563,4.74623415091862,5.55102762018913,4.88377980231651,"LRP8"
"ENSG00000172260",2.03390910861903,2.36046406281833,7.15004148917444,7.31571226853937,2.87305464276417,3.48597734592276,1.24924259491896,1.74777865667374,2.3368781065616,3.00830692149629,2.01502558189316,0.987495578422745,2.11079144151813,2.78286807606386,4.97443120414801,4.53465174012141,5.06145904319339,3.67709044927395,3.40952508551132,2.10782234292196,3.8973360867148,3.77351896233167,4.5860508546777,4.32991936761575,3.9121589795803,3.1228352178791,3.63298228875475,3.83071902368691,2.49947817475697,"NEGR1"
"ENSG00000116157",2.92899156841296,6.43990144459309,6.74170181191287,5.39498612270299,5.64597256844085,6.55762583203026,6.24299049213811,7.55930352117041,4.72995929651288,6.87268603980228,5.58406477762965,6.67095763906061,5.83014045087673,6.79965496595068,5.67453437776471,5.82618783805113,5.79725763817846,6.69087721278002,6.37428009304384,6.16616488604071,3.8973360867148,6.36039041780976,5.21875542166594,2.70372699306962,5.22744280052442,4.9606252808695,5.42204914550282,7.2185170199147,5.96744229587294,"GPX7"
"ENSG00000171492",3.80249798657994,4.88247048998788,5.18220753591616,6.00684448997002,5.2996325454721,6.16481952803268,4.90626396834343,6.61882126018222,4.1863742037455,6.53814363397322,5.18196504919914,5.98329114847412,5.27736260954768,6.38612575580981,5.7482558802514,5.71739172235161,5.56017624351359,5.07608319443381,5.91195365371542,5.53008046949014,5.05985829371949,5.60743911995858,0.987495578422745,4.32991936761575,5.1536758702443,4.47037177162595,4.78870332071275,5.95073094160691,4.97082087673876,"LRRC8D"
"ENSG00000197965",5.8657487758797,5.69631044509757,6.31392370186072,6.02626854575661,5.66297774431827,6.15673470304549,6.26535519564981,6.17276630304525,6.51462944824151,5.54414030805848,5.43180636864881,6.20790245786264,5.25546811511914,6.32865635957071,6.12554321192648,5.24397547824473,5.35943732451708,6.01808813483914,6.48832126900079,5.33589614426079,5.97459932751976,6.41789081624012,3.43254376177269,5.69587420111843,5.90384884487696,5.40436453711133,5.47502441067984,5.7094758619895,5.63574364518352,"MPZL1"
"ENSG00000143641",6.72096004719066,8.24821500566936,7.78774986268997,8.05575376452474,9.22845940886522,8.60469106299677,8.34612321230046,7.20753975643572,6.75028227932603,7.46129379935264,8.02651054012002,8.64735346978676,7.23221116459456,7.98577319709327,5.64909894363183,9.52845393911511,8.99841072866952,7.63345544975655,7.8897781177045,7.5913427856653,5.58854494326006,7.51084267468413,6.69133108553605,5.25698948323357,7.37780198486481,4.9606252808695,8.15490978149656,7.46062536300777,8.24361363446642,"GALNT2"
"ENSG00000010072",3.38298509324078,3.71810880538824,3.35342972831495,2.93514689273983,3.44472248041796,3.88876284361086,3.05199029716017,3.93365657168785,3.788855961462,3.97317947654136,3.69652871403544,3.65994565697842,3.70943546497229,3.09006451109462,3.32422810553675,4.06188924896588,3.57797045021929,3.51604362454808,4.48887425145311,3.76776584296048,3.8973360867148,3.5855735543113,4.29359397590397,4.75002872936202,3.9121589795803,3.72208072125146,4.03695502376322,4.48494117335878,4.05926993596135,"SPRTN"
"ENSG00000175137",2.63401679396757,3.36375699042434,4.09472299271291,3.41941073545272,3.36383077196371,3.63309211755661,3.41415013296088,4.17250592822488,3.59308136862813,4.31135628117316,3.14511188788748,3.5818446629279,3.57446998350842,3.09006451109462,2.87542953114899,3.84261059196381,3.66767394857163,1.41049024729284,3.58384534653403,4.09698208111085,2.50428175104957,4.66494973206356,3.43254376177269,2.08704994384023,2.92316521868556,3.1228352178791,3.88864962213041,3.68570746621101,2.90512803479189,"SH3BP5L"
