"","210086_D0_PDX","210086_D0_PDXpur","210111_D0_PDX","210111_D0_PDXpur","200219_D0_PDX","200522_D0_PDX","210030_D0_PDX","210113_D0_PDX","210263_D0_PDX","210508_D0_PDX","220140_D0_PDX","220478_D0_PDX","230005_D0_PDX","230060_D0_PDX","230304_D0_PDX","200263_D0_PDX","210403_D0_PDX","230451_D0_PDX","220273_D0_PDX","240019_D0_PDX","130504_D0_PDX","130247_D0_PDX","110041_D0_PDX","100760_D0_PDX","050086_D0_PDX","210511_D0_PDX","160477_rec_PDX","230005_rec_PDX","symbol"
"ENSG00000028137",2.842432059303,1.50263843508834,1.67191525076671,1.39163684031466,1.92741486859208,2.6908316643559,1.603194902706,5.77647684676446,1.73592312920451,5.42777078523211,1.75036171964671,4.46427371244196,1.70429047304854,5.9545954600851,0.987495578422745,3.27266678611446,0.987495578422745,2.65453481611544,3.24841608816407,4.60398895980109,3.91336586170821,6.13258101474039,0.987495578422745,3.74413081465539,4.50247806142749,5.36069385655813,2.58348646174951,2.43877972022528,"TNFRSF1B"
"ENSG00000117000",3.15415029025431,4.22623165535372,2.92594143903247,3.7225340873323,3.99491123395688,4.11458051120106,4.06682386097648,4.17159524642695,3.81930129126041,4.57270892507654,4.10276890186988,4.03527271085147,3.53011277255692,3.48784698637169,3.38813517676062,4.58515734242576,4.42180060894587,4.04801419298939,3.5861694889669,4.15228754886048,4.43361674912799,4.28862446368431,5.10045935830872,4.02271964665768,4.81941128817772,5.63748711987037,4.84416312568317,4.49935327413256,"RLF"
"ENSG00000157193",5.20992675587495,4.39131265349813,4.56365456252956,4.40690369768376,5.3299677726219,4.91196710749895,4.15493518447891,5.59126760482651,4.83841752386086,5.29260996386051,5.39409294676292,4.81704412372374,4.9094638160043,4.84635919984256,4.31465708279743,5.00885062108387,5.2703822987561,5.25209468621595,5.08511741172796,4.99754056945826,4.32006957004574,4.50096627827688,0.987495578422745,5.28865093716863,4.34196797034522,5.19944474810821,6.26410591567333,5.59724647274363,"LRP8"
"ENSG00000172260",1.27214377276388,1.35048766743313,3.37964477755335,3.01300621181114,5.62434890728222,5.18971949455822,2.36428699947218,3.5131019812897,2.11838123083853,1.39195273001551,2.71992160245147,2.85278361282218,2.18098563071131,1.93732664709383,1.95185265780735,1.8151877141591,3.47716882955164,2.52537274697181,3.24841608816407,2.39270324978654,2.78440264760878,3.35708393002598,3.33112808826002,2.27410799249817,3.06124351051996,3.41590814454331,3.66437722221559,2.83620168718102,"NEGR1"
"ENSG00000116157",3.52317285871722,4.90983391548529,6.90615444225856,6.59773937437589,6.94698896169211,6.18842905003846,5.70362374516891,6.27530888961147,6.7792279353963,7.26717144869562,4.59034836403069,7.01701241681273,5.63896358293266,6.6945939054487,6.10715802242485,6.74098421409428,5.74066437299681,5.85949133207549,5.28386333506991,6.84237111725,5.88821866190265,6.13258101474039,6.22330357886068,2.9432142277422,7.33880498121875,4.2752657163669,7.34957967292141,5.37616072130892,"GPX7"
"ENSG00000171492",4.78125394799009,4.2693062950673,5.14091179318785,4.55194492461338,5.16890484998402,5.54608850704782,5.54960209238568,6.27530888961147,5.6967061789561,6.50021323299654,5.409807872387,5.5536556228991,4.74758562915917,5.72194929177557,5.04881364396501,5.61754448636917,5.43204887799222,5.25209468621595,5.4789323464474,5.86033731752221,5.42198198057188,5.77255409546425,5.65735815597312,4.63323922956896,4.8984993878587,5.86962757478262,5.2510699006188,4.96416752394308,"LRRC8D"
"ENSG00000197965",6.14453915504031,6.28527825313011,5.74789658996948,5.58905378187951,6.2600883175289,6.74744142766056,6.04078875538467,5.72594091931349,6.50185209650068,6.61797728373939,6.16043122118456,8.20055042017422,5.71101617056315,5.8886540472015,4.91992597792668,6.59577376243951,6.45607094475363,5.31206811037888,5.39547258918452,6.42422429085081,4.97376719374266,5.7995618261323,5.65735815597312,5.88429590386199,7.1895503583222,5.75822146151194,6.11901027097173,5.95807248259904,"MPZL1"
"ENSG00000143641",7.19401777283817,6.97642468947515,8.63363321647666,8.53734206713404,8.11665181814599,8.29706131746697,8.68098478726309,8.83513570185801,8.46290308931606,7.90311913387453,7.36651493230751,7.90438342370104,8.3291561716047,8.69960162199201,7.7863040719708,8.8953985965422,5.4697854046643,8.71009469488942,8.79583677072813,8.29025209811602,8.25834389976862,6.6895220121676,7.72856545482582,5.73766361821572,7.80179179588162,6.67132091122669,7.09828402856509,8.33010141576629,"GALNT2"
"ENSG00000010072",4.30112464530974,4.22623165535372,3.92815276255305,4.17058902982338,3.75656182713096,4.16685379987335,4.35420387057237,4.4458938106161,4.5783805095369,4.17173930543385,3.89515758149219,4.34531826925118,4.71291035383028,4.35437232431962,3.73319819941863,4.02871688411111,4.17001114797437,4.5577290271042,4.24060549812743,4.15228754886048,4.72882498104846,3.8458555634446,0.987495578422745,5.57442413117632,4.85949721834201,5.01787827052045,5.17301935613396,3.80936841223077,"SPRTN"
"ENSG00000175137",3.46785814951186,3.5740399791349,3.26389822305841,3.45378702744563,3.62078382991107,3.53233310827649,3.52123462738573,4.31525375651503,4.12820045307428,4.45102836189389,4.17811267341068,4.34531826925118,4.00163547023579,4.21782436686733,3.83203382985956,3.02289974667876,2.43702538584377,4.04801419298939,3.7959916306744,4.57130269516353,4.32006957004574,4.56532720391252,4.18151656325309,2.9432142277422,3.71370137240289,3.90864851854688,2.73603876752875,3.14745628703613,"SH3BP5L"
